0	Label1	71	46	154	0
1	Label2	33	78	43	0
2	Label3	192	199	10	0
3	Label4	32	79	207	0
4	Label5	195	89	204	0
5	Label6	208	41	164	0
6	Label7	173	208	231	0
7	Label8	233	135	136	0
8	Label9	202	20	58	0
9	Label10	25	154	239	0
10	Label11	210	35	30	0
11	Label12	145	21	147	0
12	Label13	89	43	230	0
13	Label14	87	230	101	0
14	Label15	245	113	111	0
15	Label16	246	191	150	0
16	Label17	38	147	35	0
17	Label18	3	208	128	0
18	Label19	25	37	57	0
19	Label20	57	28	252	0
20	Label21	167	27	79	0
21	Label22	245	86	173	0
22	Label23	86	203	120	0
23	Label24	227	25	25	0
24	Label25	208	209	126	0
25	Label26	81	148	81	0
26	Label27	64	187	85	0
27	Label28	90	139	8	0
28	Label29	199	111	7	0
29	Label30	140	48	122	0
30	Label31	48	102	237	0
31	Label32	212	76	190	0
32	Label33	180	110	152	0
33	Label34	70	106	246	0
34	Label35	120	130	182	0
35	Label36	9	37	130	0
36	Label37	192	160	219	0
37	Label38	245	34	67	0
38	Label39	177	222	76	0
39	Label40	65	90	167	0
40	Label41	157	165	178	0
41	Label42	9	245	235	0
42	Label43	193	222	250	0
43	Label44	100	102	28	0
44	Label45	181	47	61	0
45	Label46	125	19	186	0
46	Label47	145	130	250	0
47	Label48	62	4	199	0
